d1(um),d2(um),p(um),tg(um),na,peak wl(um),Neff,confinement loss(dB/cm),peak wl(nm),??peak,WS,Resution,FWHM
0.6,1,2,0.03,1.31,0.55,1.457826035960522-5.823621446632485E-5i,57.78713405,550,0,0,0.00E+00,
0.6,1,2,0.03,1.32,0.55,1.457805786353769-7.238393237956521E-5i,71.82575382,550,10,1000,1.00E-04,
0.6,1,2,0.03,1.33,0.56,1.4573194752380616-9.641057094484527E-5i,93.958773,560,10,1000,1.00E-04,
0.6,1,2,0.03,1.34,0.57,1.4568388574621627-1.268071607758486E-4i,121.4142418,570,20,2000,5.00E-05,
0.6,1,2,0.03,1.35,0.59,1.456014953525933-1.8388928548121483E-4i,170.1003169,590,10,1000,1.00E-04,
0.6,1,2,0.03,1.36,0.6,1.4554662031229906-2.3743807278136579E-4i,215.9731771,600,30,3000,3.33E-05,
0.6,1,2,0.03,1.37,0.63,1.4545499648154887-3.9824526815451566E-4i,344.9933977,630,30,3000,3.33E-05,
0.6,1,2,0.03,1.38,0.66,1.45368836794331-4.5810666637441616E-4i,378.8117008,660,50,5000,2.00E-05,
0.6,1,2,0.03,1.39,0.71,1.4505954964403636-4.4117881105984843E-4i,339.1228131,710,60,6000,1.67E-05,
0.6,1,2,0.03,1.4,0.77,1.448956752520532-3.7988380819340014E-4i,269.2531339,770,380,38000,2.63E-06,
0.6,1,2,0.03,1.41,1.15,1.4403240690252512-0.0013996968396834057i,664.2580873,1150,640,64000,1.56E-06,
0.6,1,2,0.03,1.42,1.79,1.4206648466394767-0.0015845690538918978i,483.1242622,1790,,,,
0.6,1,2,0.04,1.31,0.57,1.4568498729681723-5.262469593927273E-5i,50.38664628,570,10,1000,1.00E-04,
0.6,1,2,0.04,1.32,0.58,1.4563989194638534-6.549764265433951E-5i,61.63088227,580,10,1000,1.00E-04,
0.6,1,2,0.04,1.33,0.59,1.4559550922039206-8.154545390334782E-5i,75.4307545,590,20,2000,5.00E-05,
0.6,1,2,0.04,1.34,0.61,1.4551579337175218-1.0264299622961785E-4i,91.83330086,610,10,1000,1.00E-04,
0.6,1,2,0.04,1.35,0.62,1.4547079817207018-1.308887694500074E-4i,115.2156314,620,30,3000,3.33E-05,
0.6,1,2,0.04,1.36,0.65,1.453670604917169-1.7683434085956476E-4i,148.4752141,650,20,2000,5.00E-05,
0.6,1,2,0.04,1.37,0.67,1.4528472176211906-2.3863033614757284E-4i,194.3799917,670,40,4000,2.50E-05,
0.6,1,2,0.04,1.38,0.71,1.4515439049152932-3.949338089826864E-4i,303.5754686,710,60,6000,1.67E-05,
0.6,1,2,0.04,1.39,0.77,1.450068178567697-5.257425719905708E-4i,372.6345584,770,100,10000,1.00E-05,
0.6,1,2,0.04,1.4,0.87,1.4474991368400105-6.450658274819407E-4i,404.6555413,870,870,87000,1.15E-06,
0.6,1,2,0.04,1.41,1.74,1.4223051781357965-0.0016318496688745552i,511.8369188,1740,,,,
0.6,1,2,0.04,1.42,,,,,,,,
0.6,1,2,0.05,1.31,0.58,1.4563883189361768-3.1682484530105124E-5i,29.81205727,580,10,1000,1.00E-04,
0.6,1,2,0.05,1.32,0.59,1.4559494550525394-3.740548444237088E-5i,34.60062798,590,20,2000,5.00E-05,
0.6,1,2,0.05,1.33,0.61,1.4551350009193862-4.8241725244279516E-5i,43.16121928,610,10,1000,1.00E-04,
0.6,1,2,0.05,1.34,0.62,1.4547232596842934-5.8548146384031025E-5i,51.53736017,620,20,2000,5.00E-05,
0.6,1,2,0.05,1.35,0.64,1.4539665103234658-7.495519153798072E-5i,63.91789342,640,30,3000,3.33E-05,
0.6,1,2,0.05,1.36,0.67,1.452932542806996-9.393768236293693E-5i,76.51837656,670,30,3000,3.33E-05,
0.6,1,2,0.05,1.37,0.7,1.4519415396471609-1.2419254071976662E-4i,96.82738004,700,40,4000,2.50E-05,
0.6,1,2,0.05,1.38,0.74,1.4506980861332266-1.6921300447377327E-4i,124.7965921,740,60,6000,1.67E-05,
0.6,1,2,0.05,1.39,0.8,1.448960939447523-2.3023704585910433E-4i,157.0673535,800,120,12000,8.33E-06,
0.6,1,2,0.05,1.4,0.92,1.44576628120877-2.6759630026323755E-4i,158.7424162,920,400,40000,2.50E-06,
0.6,1,2,0.05,1.41,1.32,1.4350969548988715-2.641173076213132E-4i,109.2002517,1320,,,,
0.6,1,2,0.05,1.42,,,,,,,,
0.6,1,2,0.06,1.31,0.59,1.4559558010620322-1.8895271196964667E-5i,17.47840615,590,10,1000,1.00E-04,
0.6,1,2,0.06,1.32,0.6,1.455533175503365-2.2182000979213345E-5i,20.17670195,600,10,1000,1.00E-04,
0.6,1,2,0.06,1.33,0.61,1.4551208991350144-2.5210633237429033E-5i,22.55561268,610,20,2000,5.00E-05,
0.6,1,2,0.06,1.34,0.63,1.454345967669317-3.236295804555162E-5i,28.03550412,630,20,2000,5.00E-05,
0.6,1,2,0.06,1.35,0.65,1.4536095967155829-3.985843591477851E-5i,33.46629268,650,20,2000,5.00E-05,
